사용일자,강남,반포,삼청,서촌,성수,신사,신촌,연남,을지로,이태원,장충,종로,청담,한남,혜화,홍대
20160101,3789339308,43144195764170781060972,1601817724,,6730685821591931,1454414758112631202345644909,11610121202951828196389334,1971193563294639611030190661325361,137741346310231726513742339564115794248732290112041433,484354441891019141,616657467491809314221372158815024076324215871591,288947371190811480203661830178757693,6323665046904475,45974703302621751397,2809329738,63294639611030190661325361
20160102,6501670974,17071680711570501145511549,2054923890,,94181036732733102,237152614227111293151147912893,16311175094324044695528526,2685278981237369761418893113792529,171811784920379243327207724987127779390023740727333191,747183171960123374,93239050106671155424412279230321862196221653274543,43797529197362032032017305121143711490,113001239181168903,30843195493470837392,3672640397,81237369761418893113792529
20160103,4754248217,195519375765602399279718,1468316980,,8025876627612817,1557716286179421877572417723,12676142333469934574441467,2407250062013620361201196069536271,202929330437793574843980483023528825134315331258412800,571757491496214050,8353806695951045019991943174918291884198349954356,310447491176411784224781997174307012,8191891969167203,58076459241624296824,3076133467,62013620361201196069536271
20160104,127099127632,3402348516783172951856518388,2765029161,,304203307562436219,341783706141271457961572817676,208792194955692576399561302,4427418873544753441356210774677352,101131413036156881551724256239915716257527618767673722139100,600861471301213971,1585015427158641685645354362402839924255444272078264,444224313631631316939772124951530815169,25591296262706830042,3929471048051060611122,4044042077,73544753441356210774677352
20160105,128114128123,1905118805170601750335963584,2862530940,,311183374364496225,426774659435296379791666618482,554145670121920222409141261,4217405475745782921352221577007489,5900759288246412445315920156981163913149377933969561276515,137441486967646922,1598616983165301585093089777428044834058412546924485,444054253631529315379981126551569215390,27343306162626930351,1082611393481348154937,4322244682,75745782921352221577007489
20160106,128987129363,3582359016850174631923518530,2984431973,,310673394063746106,417674617235538384341624418425,552825660320532213459301238,4279405374581780017525740114802121,602785972425738253811541014881118121338920377514132661686597,664969381393714988,16292173391627115863467444614121411643544667995010075,452044344330996305719981124031558515602,26148302632713330144,1098011561485148113433,4411847420,74581780017525740114802121
20160107,128540130021,1905218820167931746736153713,2882031074,,306363375064226128,421084631235215382111647618617,938126055062565472175122040,4210395975297500133621657636180332,592195956224496246811547115263613967141136313007103834539723,139411548267577195,9392969442494530409842901630917032459343591608515524,4528443181321893196016052158481000412561,26613298802567729979,1089411539433448934739,4417245982,75297500133621657636180332
20160108,135812141261,3644367319745198271696917404,2893031155,,647160693075733553,433174825737128422221735720048,904130858849617082198922501,4367420914102314808683128383196579,116791330830628668743807440210616196164124900249421571115213,723582121657221147,1659916010422943224296456793709677474844681645517417,1010013412161091661046724454503227332585,25722306992713530615,1125811680472749216334,4634149366,14102314808683128383196579
20160109,93805100107,27922678152521486697839664,2213325540,,460742971435815804,150301684036649385703292835054,52255056158567141866919674,33103290156725668844110129084888108,40886398991141810772108091064950696177232312390440294636,202522460684549759,1420614780119251110082346488290629792813282831042911,38270372772733227192571791241298013101,17429183121654117842,88439284365637224230,5002453080,156725668844110129084888108
20160110,5514554172,62406428107261013020021978,1616218164,,2942294085519311,7722824817420177161885119749,38644513686142963925937628,2424249113082082681576635864545917,203043340638443899870083343090729019139315771532515261,654166521641715276,9739107832064189819102018504653242184204486318315,316950541274912640237782105283537355,9096990791169658,60352693264760926726,3649537713,13082082681576635864545917
20160111,126712127386,3545350918960184771705717584,2669628406,,615561013072533595,157371759040613451683396936929,856127855401568312067521524,4216401371766979120419667261474072,6282675255931573792435424189153121504811409131253731238955,129331403360966388,8549914142094556413541404627436716014166831609815680,155491535744423426453191131494987612433,27060301442562129664,1079611405494449094143,4045841998,71766979120419667261474072
20160112,127488127270,3541352918775185051673817264,2828030060,,309533375262946133,420894617434799376661652518240,856122455342563452051321562,4191392371427060129320107334075476,5841558323248482443815262151116288674111480131803775238810,658469401349314638,1604616953455244391619015591415041684212445088769278,436334148932220323111567715444976412263,25615297982812230982,1079711461500349754935,4549446654,71427060129320107334075476
20160113,130819129594,1699817409188931888935593531,2920330418,,629561043142533875,169951877542023460763609239044,905130155189558762060021228,4237404912502057741074357511677702,623966865887057990252102497515652152871183213261103830539274,665167971368314890,4576448041034115438845149669991716283172491627915788,159301553544231424423257831934994712385,26261303852714730111,4949503648481097011636,4592647025,12502057741074357511677702
