YearMonth,강남,반포,삼청,서촌,성수,신사,신촌,연남,을지로,이태원,장충,종로,청담,한남,혜화,홍대
201601,6571817,2025804,1579065,0,1848813,5191569,4405250,223859,7816193,1420233,2906112,5332409,2625629,858385,2642078,5276937
201602,5762733,1853061,1446748,0,1678378,4731175,4097625,213416,7123917,1337904,2673014,4845447,2357710,806068,2412982,4997100
201603,6313331,2252509,1788776,0,2088387,5486374,5170980,277005,8651378,1532432,3293093,5546204,2834678,981199,2862314,5514429
201604,5861431,2150084,1775301,0,2036841,5231902,4748926,274369,8166335,1538659,3108818,5284692,2657094,941476,2712484,5292907
201605,5924777,2197097,1863699,0,2078197,5265443,4965035,281056,8319354,1625909,3129258,5393646,2641095,962627,2929209,5644229
201606,5830685,2153466,1707900,0,2026766,5256077,4489714,266511,8126380,1532443,3037914,5114724,2624757,929036,2603763,5318340
201607,6794732,2125715,1636840,0,1984578,5347149,4542162,256175,8027386,1541353,2987300,5263522,2605937,915931,2612290,5658705
201608,6361384,2057606,1572852,0,1952974,5122775,4354021,251805,7841272,1523424,2879065,5010181,2538328,882044,2579783,5648492
201609,5464745,1973550,1571252,0,1869375,4723083,4345482,258373,7519949,1492237,2859435,4792346,2399333,860652,2445805,5138797
201610,5855861,2837036,1856330,825692,2089712,5181068,4687780,275653,8253601,1764499,3129499,5249631,2671534,929968,2785434,5596457
201611,5934375,3650982,1866678,1899657,2099559,5190887,4737247,269254,8608339,1521205,3133898,5425777,2735086,909244,2810122,5401953
201612,6376445,3750318,1830476,1868410,2133648,5507905,4674928,265803,8709994,1722814,3192207,5642328,2777829,914607,3073659,6087007
201701,6269249,3329113,1461891,1336580,1938914,4892921,4029889,239784,7483911,1440692,2801812,4923094,2479096,820432,2462989,5541805
201702,6283088,3324768,1526441,1412221,1963644,4951828,4128711,241437,7584542,1452502,2818518,5048576,2532674,827496,2460024,5697351
201703,6416621,3780859,1800063,1727017,2214795,5357060,4945047,301200,8570602,1646276,3263472,5601549,2788810,966059,2831085,5839243
201704,5984712,3581292,1733841,1627640,2158103,4988022,4494637,294690,7920272,1598783,3084111,5127351,2606980,928564,2630739,5471450
201705,5935947,3567676,1687373,1639881,2104990,4898905,4607967,297210,7612330,1657724,3057010,5149537,2499875,935483,2789543,5853003
201706,6012569,3552787,1602916,1531270,2119308,5024861,4241918,291431,7704777,1607694,3032885,5038163,2578589,914269,2558156,5396963
