period,홍대,연남,이태원,종로,을지로,성수,한남,청담,신사,삼청,서촌,장충,반포,혜화,신촌,강남
2016-01-01,48954.84049,25132.37774,27173.88484,23790.46181,2378.142837,2677.8183,3347.329169,5712.569913,33609.92064,13647.83083,4248.394901,1718.103005,8714.361116,33217.2715,19608.78716,33538.27499
2016-01-02,47932.66454,26684.50038,28847.95702,28358.92133,3063.865261,2847.052673,3871.709605,6988.738092,37112.35973,13879.16726,4875.667107,1782.58387,9881.268039,34936.12352,22157.83769,36700.01743
2016-01-03,36365.21305,23650.4807,21662.0141,26463.61928,2119.694182,2666.466087,3210.535102,5796.884627,33308.52151,11323.10342,3646.088008,1489.299822,8563.55757,28263.67466,20454.66395,35795.46701
2016-01-04,36921.91559,24009.85421,20283.79666,23929.62408,2410.449838,2801.647839,2892.382605,6180.983966,31746.45294,9285.481119,3039.619799,1283.376996,9059.64915,26323.23826,23546.52733,41709.50205
2016-01-05,40081.76639,22293.53649,21595.34076,23752.03696,3123.267665,3125.668131,3570.13977,7519.607147,32538.39974,9492.032436,3588.873466,1630.741782,11218.73923,23748.07042,25322.35309,40714.07981
2016-01-06,38171.13256,23785.76044,23893.43174,22058.20976,3777.725407,3293.871763,4266.549907,7382.205221,37241.23427,9311.300034,4018.498017,1801.304021,10036.23108,30754.97081,25304.70695,41723.07821
2016-01-07,34791.50489,24696.58516,23576.74748,29318.51622,3574.509879,3344.434319,4483.141728,6774.308023,38177.64422,9368.102517,3298.643311,1824.184378,9767.905299,30734.26169,24401.74503,45909.48884
2016-01-08,50309.80736,22444.30659,27023.87452,25222.58558,3962.182861,3157.657261,4453.088596,5891.608507,34104.6243,9047.94841,3655.450645,1830.424687,9979.029544,28535.99884,23043.15347,43353.56287
2016-01-09,55750.3864,17286.06191,28589.6143,25369.01446,3625.574953,3109.158195,5055.193112,5716.733887,38411.48301,11116.5521,4475.170475,2114.348466,9589.022047,31348.28402,28242.965,59558.14228
2016-01-10,41943.66758,15959.06572,26599.87577,25405.36314,2569.895302,3378.48895,4926.689255,6183.065186,29134.69334,10185.0101,4052.827258,1817.944457,9983.190834,28858.0231,27181.20748,37760.193
2016-01-11,40965.03127,19076.73065,22417.28722,23948.31747,3198.301185,3067.882352,3755.642183,5776.066293,31226.80363,7755.97323,3018.814511,1570.421123,7937.46349,30146.12463,31298.50041,38457.9281
2016-01-12,42039.04659,20182.73381,21517.20646,23910.9307,3578.679156,3433.178487,4395.053764,5796.884627,30398.48342,9950.574445,3338.172584,1764.903576,8852.684394,28954.32206,25721.93723,44013.69696
2016-01-13,38271.69701,15331.19544,24233.03791,21121.4606,3798.568119,2887.295766,3497.59707,5968.636651,30616.73361,8529.506868,3958.163456,1690.022584,8658.199907,28572.24092,26386.18593,43228.224
2016-01-14,39744.84071,20598.90527,27107.21149,20490.03797,3991.362904,2737.669579,3287.222906,6497.422952,32457.33608,8810.415701,4221.348285,1597.461298,9319.654148,29239.06901,25898.37896,42119.99222
2016-01-15,42656.91626,20744.51192,26386.32124,24890.25706,3692.271143,3143.210816,3776.367708,6858.622737,27206.7908,9702.714606,4175.576393,1632.821885,9792.865836,24188.13798,22882.27862,45599.26587
2016-01-16,48280.98914,20208.55106,28637.53164,28956.07145,3555.751805,3203.062095,4597.137719,6565.083305,30496.1759,12277.36728,4412.754611,1944.826085,10314.95828,31019.00864,29259.05363,42947.24698
