,period,홍대,연남,이태원,종로,을지로,성수,한남,청담,신사,삼청,서촌,장충,반포,혜화,신촌,강남
0,2016-01-01,48954.84048927804,25132.377740465377,27173.884840747956,23790.461809384316,2378.14283730634,2677.8182999759806,3347.3291694602362,5712.56991339033,33609.92064299623,13647.830833859289,4248.394900814088,1718.1030046662206,8714.361116345217,33217.27149533249,19608.787158346782,33538.2749902146
1,2016-01-02,47932.6645422168,26684.50038447886,28847.9570225433,28358.921332771482,3063.8652606019177,2847.0526729161447,3871.7096049027477,6988.738092206295,37112.35972760482,13879.167264370513,4875.667107383062,1782.5838699150365,9881.268039336524,34936.12351699769,22157.837688228523,36700.0174338435
2,2016-01-03,36365.21304892019,23650.48069611373,21662.014104972262,26463.61928189677,2119.6941824898427,2666.46608685075,3210.5351022007917,5796.884626876998,33308.52151444495,11323.103420482075,3646.0880075496966,1489.29982186542,8563.557569617857,28263.674656906678,20454.663946833978,35795.467012546804
3,2016-01-04,36921.915587238465,24009.8542050417,20283.796655166672,23929.624084732837,2410.449837771222,2801.6478388977444,2892.3826046128524,6180.983965854979,31746.45294122235,9285.481119129461,3039.6197986243947,1283.3769961164226,9059.649150237796,26323.238258322486,23546.527327854576,41709.50204981778
4,2016-01-05,40081.7663908662,22293.53649326244,21595.340757597445,23752.036960435868,3123.2676648005117,3125.668130869483,3570.1397696949916,7519.607147173973,32538.399737003692,9492.03243626751,3588.873465620893,1630.7417823656015,11218.739234468982,23748.070418886862,25322.35308742045,40714.079808798095
5,2016-01-06,38171.132559730504,23785.760439262882,23893.431738232466,22058.209762361297,3777.7254069774413,3293.8717630427013,4266.549906554976,7382.205221452155,37241.23427354038,9311.300033771719,4018.498017096695,1801.3040210602455,10036.231075674166,30754.970806732137,25304.7069522223,41723.07820605573
6,2016-01-07,34791.504894523314,24696.585159336337,23576.747475892367,29318.51622246043,3574.5098789746016,3344.434319378353,4483.1417280194,6774.308023325686,38177.64421967077,9368.10251655417,3298.6433113072803,1824.1843781120485,9767.905298698755,30734.261692001197,24401.745034062274,45909.488844132626
7,2016-01-08,50309.80736008466,22444.306588884785,27023.874521718048,25222.585583695098,3962.1828611993474,3157.6572609874997,4453.088596421822,5891.608507447503,34104.624299242045,9047.948410274943,3655.4506452041333,1830.42468697194,9979.029544170786,28535.998840468117,23043.15347119039,43353.562866650675
8,2016-01-09,55750.38640309544,17286.061910513137,28589.61429543788,25369.014460613544,3625.574953220417,3109.1581954270014,5055.193112138503,5716.733886962249,38411.48300748513,11116.55210334403,4475.17047520319,2114.3484655903358,9589.022047337046,31348.284018121685,28242.96500252955,59558.14227655352
9,2016-01-10,41943.66758480145,15959.065722443349,26599.87576500282,25405.363137684868,2569.8953021347916,3378.4889495127836,4926.6892545581,6183.065185794976,29134.69334115318,10185.010102955832,4052.8272583861517,1817.9444569693899,9983.190833646755,28858.023098982623,27181.207483121012,37760.19299860541
